2016-10-19 16:42:29,583 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2016-10-19 16:42:31,385 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Oct 19 16:42:31 CST 2016]; root of context hierarchy
2016-10-19 16:42:32,060 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mvc.xml]
2016-10-19 16:42:46,433 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-10-19 16:42:46,764 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/upload],methods=[POST]}" onto public java.lang.String com.icinfo.springmvc.file.controller.uploadController.upload(org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.commons.CommonsMultipartFile,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2016-10-19 16:42:46,765 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/toupload],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.file.controller.uploadController.toUpload()
2016-10-19 16:42:47,297 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Wed Oct 19 16:42:31 CST 2016]; root of context hierarchy
2016-10-19 16:42:47,350 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Wed Oct 19 16:42:31 CST 2016]; root of context hierarchy
2016-10-19 16:42:47,402 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2016-10-19 16:42:47,413 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/css/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-10-19 16:42:47,513 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 17928 ms
2016-10-19 16:43:11,678 [qtp681639276-18] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVC': initialization started
2016-10-19 16:43:11,681 [qtp681639276-18] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springMVC-servlet': startup date [Wed Oct 19 16:43:11 CST 2016]; parent: Root WebApplicationContext
2016-10-19 16:43:11,682 [qtp681639276-18] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mvc.xml]
2016-10-19 16:43:11,773 [qtp681639276-18] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-10-19 16:43:11,797 [qtp681639276-18] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/upload],methods=[POST]}" onto public java.lang.String com.icinfo.springmvc.file.controller.uploadController.upload(org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.commons.CommonsMultipartFile,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2016-10-19 16:43:11,797 [qtp681639276-18] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/toupload],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.file.controller.uploadController.toUpload()
2016-10-19 16:43:11,835 [qtp681639276-18] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springMVC-servlet': startup date [Wed Oct 19 16:43:11 CST 2016]; parent: Root WebApplicationContext
2016-10-19 16:43:11,867 [qtp681639276-18] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springMVC-servlet': startup date [Wed Oct 19 16:43:11 CST 2016]; parent: Root WebApplicationContext
2016-10-19 16:43:11,912 [qtp681639276-18] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2016-10-19 16:43:11,919 [qtp681639276-18] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/css/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-10-19 16:43:11,979 [qtp681639276-18] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVC': initialization completed in 301 ms
2016-10-19 16:43:12,003 [qtp681639276-18] INFO  com.icinfo.springmvc.file.controller.uploadController - 跳转成功！
