2016-10-26 12:06:47,389 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2016-10-26 12:06:47,604 [main] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Oct 26 12:06:47 CST 2016]; root of context hierarchy
2016-10-26 12:06:47,703 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mvc.xml]
2016-10-26 12:06:48,629 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-10-26 12:06:48,855 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/page/{path}/{file}],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.common.controller.CommonController.toPage(java.lang.String,java.lang.String)
2016-10-26 12:06:48,859 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/upload],methods=[POST]}" onto public java.lang.String com.icinfo.springmvc.file.controller.UploadController.upload(org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.commons.CommonsMultipartFile,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2016-10-26 12:06:48,859 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/toupload],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.file.controller.UploadController.toUpload()
2016-10-26 12:06:49,342 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Wed Oct 26 12:06:47 CST 2016]; root of context hierarchy
2016-10-26 12:06:49,385 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Wed Oct 26 12:06:47 CST 2016]; root of context hierarchy
2016-10-26 12:06:49,436 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2016-10-26 12:06:49,454 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/css/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-10-26 12:06:49,458 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/js/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#1'
2016-10-26 12:06:49,545 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2146 ms
2016-10-26 12:08:43,333 [qtp681639276-13] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVC': initialization started
2016-10-26 12:08:43,336 [qtp681639276-13] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springMVC-servlet': startup date [Wed Oct 26 12:08:43 CST 2016]; parent: Root WebApplicationContext
2016-10-26 12:08:43,337 [qtp681639276-13] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mvc.xml]
2016-10-26 12:08:43,396 [qtp681639276-13] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-10-26 12:08:43,416 [qtp681639276-13] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/page/{path}/{file}],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.common.controller.CommonController.toPage(java.lang.String,java.lang.String)
2016-10-26 12:08:43,417 [qtp681639276-13] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/upload],methods=[POST]}" onto public java.lang.String com.icinfo.springmvc.file.controller.UploadController.upload(org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.commons.CommonsMultipartFile,javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2016-10-26 12:08:43,417 [qtp681639276-13] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/file/toupload],methods=[GET]}" onto public java.lang.String com.icinfo.springmvc.file.controller.UploadController.toUpload()
2016-10-26 12:08:43,444 [qtp681639276-13] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springMVC-servlet': startup date [Wed Oct 26 12:08:43 CST 2016]; parent: Root WebApplicationContext
2016-10-26 12:08:43,470 [qtp681639276-13] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springMVC-servlet': startup date [Wed Oct 26 12:08:43 CST 2016]; parent: Root WebApplicationContext
